"Date","Value"
"2015-06-28",4288190000
"2015-06-29",4422120000
"2015-06-30",4529870000
"2015-07-01",4470740000
"2015-07-02",4421500000
"2015-07-03",4419110000
"2015-07-04",4450860000
"2015-07-05",4598990000
"2015-07-06",4709180000
"2015-07-07",4596940000
"2015-07-08",4658960000
"2015-07-09",4696920000
"2015-07-10",4999460000
"2015-07-11",4949550000
"2015-07-12",5177530000
"2015-07-13",4882270000
"2015-07-14",4931940000
"2015-07-15",4894510000
"2015-07-16",4594370000
"2015-07-17",4653340000
"2015-07-18",4610420000
"2015-07-19",4603920000
"2015-07-20",4638080000
"2015-07-21",4656120000
"2015-07-22",4624970000
"2015-07-23",4617280000
"2015-07-24",4819530000
"2015-07-25",4838830000
"2015-07-26",4905350000
"2015-07-27",4924550000
"2015-07-28",4989410000
"2015-07-29",4923860000
"2015-07-30",4857800000
"2015-07-31",4822040000
"2015-08-01",4729710000
"2015-08-02",4735980000
"2015-08-03",4786140000
"2015-08-04",4811730000
"2015-08-05",4768990000
"2015-08-06",4699330000
"2015-08-07",4862540000
"2015-08-08",4608320000
"2015-08-09",4531570000
"2015-08-10",4533290000
"2015-08-11",4559200000
"2015-08-12",4615030000
"2015-08-13",4593490000
"2015-08-14",4633680000
"2015-08-15",4608440000
"2015-08-16",4469260000
"2015-08-17",4486060000
"2015-08-18",4395440000
"2015-08-19",4056350000
"2015-08-20",4100120000
"2015-08-21",4080710000
"2015-08-22",3947820000
"2015-08-23",3964040000
"2015-08-24",3753690000
"2015-08-25",3834100000
"2015-08-26",3986490000
"2015-08-27",3953300000
"2015-08-28",4031240000
"2015-08-29",3958040000
"2015-08-30",3963540000
"2015-08-31",4033630000
"2015-09-01",3978300000
"2015-09-02",3998980000
"2015-09-03",3935070000
"2015-09-04",3980280000
"2015-09-05",4073650000
"2015-09-06",4171320000
"2015-09-07",4168600000
"2015-09-08",4205800000
"2015-09-09",4167020000
"2015-09-10",4133200000
"2015-09-11",4132060000
"2015-09-12",4079800000
